,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Average_Sales_Game,Sales_Per_Platform,Average_Sales_Per_Year,SK_Game
796,798,The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.94,0.0,0.22,2.09,2.08,0.9952153110047848,0.06709677419354838,0.05358974358974359,796
797,799,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09,2.09,1.0,0.06741935483870967,0.05358974358974359,797
798,800,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09,2.09,1.0,0.06741935483870967,0.05358974358974359,798
799,801,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,2.09,1.0048076923076923,0.06741935483870967,0.05333333333333334,799
800,802,Tetris Worlds,PS2,2002,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,2.09,1.0048076923076923,0.06741935483870967,0.05333333333333334,800
801,803,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08,2.09,1.0048076923076923,0.06741935483870967,0.05333333333333334,801
802,804,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.36,0.52,0.0,0.2,2.08,2.08,1.0,0.06709677419354838,0.05333333333333334,802
803,805,Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,2.0900000000000003,1.0048076923076925,0.06741935483870969,0.05333333333333334,803
804,806,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08,2.07,0.9951923076923076,0.0667741935483871,0.05333333333333334,804
805,807,Sim Theme Park,PC,1998,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,2.08,1.0,0.06709677419354838,0.05333333333333334,805
806,808,Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,2.08,1.0,0.06709677419354838,0.05333333333333334,806
807,809,Skate 3,PS3,2010,Sports,Electronic Arts,0.79,0.94,0.0,0.35,2.08,2.08,1.0,0.06709677419354838,0.05333333333333334,807
808,810,Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07,2.08,1.0048309178743962,0.06709677419354838,0.05307692307692307,808
809,811,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07,2.06,0.995169082125604,0.0664516129032258,0.05307692307692307,809
810,812,UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.48,0.39,0.0,0.19,2.07,2.06,0.995169082125604,0.0664516129032258,0.05307692307692307,810
811,813,Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07,2.06,0.995169082125604,0.0664516129032258,0.05307692307692307,811
812,814,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07,2.07,1.0,0.0667741935483871,0.05307692307692307,812
813,815,Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06,2.0700000000000003,1.004854368932039,0.06677419354838711,0.052820512820512824,813
814,816,The Sims 3,PS3,2010,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06,2.06,1.0,0.0664516129032258,0.052820512820512824,814
815,817,Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft,1.2,0.63,0.04,0.19,2.06,2.06,1.0,0.0664516129032258,0.052820512820512824,815
816,818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,2.05,0.9951456310679611,0.0661290322580645,0.052820512820512824,816
817,819,The Incredibles,GBA,2004,Action,THQ,1.15,0.77,0.04,0.1,2.06,2.06,1.0,0.0664516129032258,0.052820512820512824,817
818,820,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,2.06,1.0,0.0664516129032258,0.052820512820512824,818
819,821,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,2.06,1.0,0.0664516129032258,0.052820512820512824,819
820,822,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06,2.05,0.9951456310679611,0.0661290322580645,0.052820512820512824,820
821,823,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05,2.06,1.0048780487804878,0.0664516129032258,0.05256410256410256,821
822,824,Carnival Games,DS,2008,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05,2.06,1.0048780487804878,0.0664516129032258,0.05256410256410256,822
823,825,NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05,2.05,1.0,0.0661290322580645,0.05256410256410256,823
824,826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.16,0.06,0.83,0.0,2.05,2.05,1.0,0.0661290322580645,0.05256410256410256,824
825,827,Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,2.06,1.0048780487804878,0.0664516129032258,0.05256410256410256,825
826,828,Diablo III,PS3,2013,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05,2.04,0.9951219512195123,0.06580645161290323,0.05256410256410256,826
827,829,NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,2.05,1.0,0.0661290322580645,0.05256410256410256,827
828,830,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05,2.04,0.9951219512195123,0.06580645161290323,0.05256410256410256,828
829,831,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04,2.0500000000000003,1.004901960784314,0.06612903225806452,0.05230769230769231,829
830,832,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04,2.04,1.0,0.06580645161290323,0.05230769230769231,830
831,833,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04,2.0500000000000003,1.004901960784314,0.06612903225806452,0.05230769230769231,831
832,834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,2.04,1.0,0.06580645161290323,0.05230769230769231,832
833,835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,2.04,1.0,0.06580645161290323,0.05230769230769231,833
834,836,Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,2.04,1.0,0.06580645161290323,0.05230769230769231,834
835,837,Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04,2.04,1.0,0.06580645161290323,0.05230769230769231,835
836,838,Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.53,0.25,0.0,0.25,2.03,2.0300000000000002,1.0000000000000002,0.06548387096774194,0.052051282051282045,836
837,839,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,2.0399999999999996,1.0049261083743841,0.06580645161290322,0.052051282051282045,837
838,840,Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03,2.0300000000000002,1.0000000000000002,0.06548387096774194,0.052051282051282045,838
839,841,NBA Live 2004,PS2,2003,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,2.02,0.9950738916256159,0.06516129032258064,0.052051282051282045,839
840,842,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02,2.02,1.0,0.06516129032258064,0.05179487179487179,840
841,843,Call of Duty 2,X360,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02,2.02,1.0,0.06516129032258064,0.05179487179487179,841
842,844,Madden NFL 15,X360,2014,Sports,Electronic Arts,1.76,0.09,0.0,0.17,2.02,2.02,1.0,0.06516129032258064,0.05179487179487179,842
843,845,Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,2.02,1.0,0.06516129032258064,0.05179487179487179,843
844,846,TouchMaster,DS,2007,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01,2.01,1.0,0.06483870967741935,0.05153846153846153,844
845,847,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0.0,0.18,2.01,1.9999999999999998,0.9950248756218906,0.06451612903225806,0.05153846153846153,845
846,848,LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0,2.0,1.0,0.06451612903225806,0.05128205128205128,846
847,849,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0,2.0,1.0,0.06451612903225806,0.05128205128205128,847
848,850,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2.0,2.0100000000000002,1.0050000000000001,0.06483870967741936,0.05128205128205128,848
849,851,Super Street Fighter II,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0,2.0,1.0,0.06451612903225806,0.05128205128205128,849
850,852,Mortal Kombat vs. DC Universe,PS3,2008,Fighting,Midway Games,1.48,0.3,0.0,0.22,2.0,2.0,1.0,0.06451612903225806,0.05128205128205128,850
851,853,Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,1.9899999999999998,0.9999999999999999,0.06419354838709676,0.05102564102564103,851
852,854,Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,1.9900000000000002,1.0000000000000002,0.06419354838709677,0.05102564102564103,852
853,855,Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,1.9900000000000002,1.0000000000000002,0.06419354838709677,0.05102564102564103,853
854,856,Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,1.98,1.0,0.06387096774193549,0.05076923076923077,854
855,857,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,1.9900000000000002,1.0050505050505052,0.06419354838709677,0.05076923076923077,855
856,858,Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98,1.99,1.005050505050505,0.06419354838709677,0.05076923076923077,856
857,859,Resident Evil 6,X360,2012,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,1.9700000000000002,0.994949494949495,0.0635483870967742,0.05076923076923077,857
858,860,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97,1.9800000000000002,1.0050761421319798,0.06387096774193549,0.050512820512820515,858
859,861,Sonic Classic Collection,DS,2010,Platform,Sega,0.99,0.8,0.0,0.18,1.97,1.97,1.0,0.0635483870967742,0.050512820512820515,859
860,862,Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,1.97,1.0,0.0635483870967742,0.050512820512820515,860
861,863,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.2,0.59,0.0,0.19,1.97,1.98,1.0050761421319796,0.06387096774193549,0.050512820512820515,861
862,864,Devil May Cry 2,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97,1.97,1.0,0.0635483870967742,0.050512820512820515,862
863,865,Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97,1.97,1.0,0.0635483870967742,0.050512820512820515,863
864,866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97,1.9700000000000002,1.0000000000000002,0.0635483870967742,0.050512820512820515,864
865,867,BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96,1.96,1.0,0.0632258064516129,0.050256410256410255,865
866,868,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,1.96,1.0,0.0632258064516129,0.050256410256410255,866
867,869,Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,1.96,1.0,0.0632258064516129,0.050256410256410255,867
868,870,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,1.96,1.0,0.0632258064516129,0.050256410256410255,868
869,871,Kirby Squeak Squad,DS,2006,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96,1.9500000000000002,0.9948979591836736,0.06290322580645162,0.050256410256410255,869
870,872,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96,1.9600000000000002,1.0000000000000002,0.06322580645161291,0.050256410256410255,870
871,873,Destiny,X360,2014,Shooter,Activision,1.3,0.49,0.0,0.16,1.95,1.95,1.0,0.06290322580645161,0.049999999999999996,871
872,874,Crash Nitro Kart,PS2,2003,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,1.95,1.0,0.06290322580645161,0.049999999999999996,872
873,875,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,1.9600000000000002,1.0051282051282053,0.06322580645161291,0.049999999999999996,873
874,876,Star Wars: Dark Forces,PC,1994,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,1.9500000000000002,1.0000000000000002,0.06290322580645162,0.049999999999999996,874
875,877,NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95,1.95,1.0,0.06290322580645161,0.049999999999999996,875
876,878,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,1.94,1.0,0.06258064516129032,0.04974358974358974,876
877,879,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,1.94,1.0,0.06258064516129032,0.04974358974358974,877
878,880,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94,1.94,1.0,0.06258064516129032,0.04974358974358974,878
879,881,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ,0.59,1.23,0.0,0.13,1.94,1.9499999999999997,1.0051546391752577,0.06290322580645161,0.04974358974358974,879
880,882,Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,1.94,1.0,0.06258064516129032,0.04974358974358974,880
881,883,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,1.9300000000000002,0.9948453608247424,0.06225806451612904,0.04974358974358974,881
882,884,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94,1.93,0.9948453608247423,0.06225806451612903,0.04974358974358974,882
883,885,Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94,1.94,1.0,0.06258064516129032,0.04974358974358974,883
884,886,X-Men Legends,PS2,2004,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93,1.93,1.0,0.06225806451612903,0.04948717948717948,884
885,887,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93,1.9299999999999997,0.9999999999999999,0.06225806451612902,0.04948717948717948,885
886,888,Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.56,0.0,0.27,1.93,1.9300000000000002,1.0000000000000002,0.06225806451612904,0.04948717948717948,886
887,889,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93,1.9300000000000002,1.0000000000000002,0.06225806451612904,0.04948717948717948,887
888,890,Virtua Fighter 2,SAT,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,1.9300000000000002,1.0000000000000002,0.06225806451612904,0.04948717948717948,888
889,891,Tetris DX,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93,1.9300000000000002,1.0000000000000002,0.06225806451612904,0.04948717948717948,889
890,892,Mortal Kombat vs. DC Universe,X360,2008,Fighting,Midway Games,1.53,0.24,0.0,0.16,1.93,1.93,1.0,0.06225806451612903,0.04948717948717948,890
891,893,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93,1.9200000000000004,0.9948186528497411,0.061935483870967756,0.04948717948717948,891
892,894,Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93,1.92,0.9948186528497409,0.06193548387096774,0.04948717948717948,892
893,895,Tomb Raider (2013),X360,2013,Action,Square Enix,0.86,0.87,0.01,0.17,1.92,1.91,0.9947916666666666,0.06161290322580645,0.04923076923076923,893
894,896,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92,1.9200000000000002,1.0000000000000002,0.06193548387096775,0.04923076923076923,894
895,897,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92,1.93,1.0052083333333333,0.06225806451612903,0.04923076923076923,895
896,898,Monopoly,Wii,2008,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92,1.92,1.0,0.06193548387096774,0.04923076923076923,896
897,899,Red Faction,PS2,2001,Shooter,THQ,0.76,0.96,0.0,0.2,1.92,1.92,1.0,0.06193548387096774,0.04923076923076923,897
898,900,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,1.9200000000000002,1.0000000000000002,0.06193548387096775,0.04923076923076923,898
899,901,MX Unleashed,PS2,2004,Racing,THQ,0.94,0.73,0.0,0.25,1.92,1.92,1.0,0.06193548387096774,0.04923076923076923,899
900,902,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,1.91,0.9947916666666666,0.06161290322580645,0.04923076923076923,900
901,903,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0.0,0.18,1.92,1.91,0.9947916666666666,0.06161290322580645,0.04923076923076923,901
902,904,Mario Party 3,N64,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91,1.9100000000000001,1.0000000000000002,0.061612903225806454,0.04897435897435897,902
903,905,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.14,0.57,0.0,0.19,1.91,1.9,0.9947643979057592,0.06129032258064516,0.04897435897435897,903
904,906,Game Party 2,Wii,2008,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91,1.91,1.0,0.06161290322580645,0.04897435897435897,904
905,907,Destiny: The Taken King,PS4,2015,Shooter,Activision,0.77,0.78,0.04,0.31,1.91,1.9000000000000001,0.9947643979057593,0.061290322580645165,0.04897435897435897,905
906,908,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0.0,0.17,1.91,1.9100000000000001,1.0000000000000002,0.061612903225806454,0.04897435897435897,906
907,909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,1.9000000000000001,1.0000000000000002,0.061290322580645165,0.04871794871794872,907
908,910,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,1.8900000000000001,0.9947368421052633,0.06096774193548388,0.04871794871794872,908
909,911,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89,1.8900000000000001,1.0000000000000002,0.06096774193548388,0.04846153846153846,909
910,912,Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89,1.89,1.0,0.06096774193548387,0.04846153846153846,910
911,913,Yokai Watch,3DS,2013,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89,1.8800000000000001,0.9947089947089949,0.06064516129032258,0.04846153846153846,911
912,914,Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88,1.8800000000000001,1.0000000000000002,0.06064516129032258,0.0482051282051282,912
913,915,Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.88,1.8900000000000001,1.0053191489361704,0.06096774193548388,0.0482051282051282,913
914,916,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88,1.8800000000000001,1.0000000000000002,0.06064516129032258,0.0482051282051282,914
915,917,Hot Shots Golf 2,PS,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,1.8800000000000001,1.0000000000000002,0.06064516129032258,0.0482051282051282,915
916,918,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88,1.8800000000000001,1.0000000000000002,0.06064516129032258,0.0482051282051282,916
917,919,WCW Nitro,PS,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88,1.88,1.0,0.060645161290322575,0.0482051282051282,917
918,920,High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios,0.47,0.08,0.0,1.33,1.87,1.88,1.0053475935828875,0.060645161290322575,0.04794871794871795,918
919,921,Star Fox Adventures,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,1.8800000000000001,1.0053475935828877,0.06064516129032258,0.04794871794871795,919
920,922,FIFA 2000,PS,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87,1.87,1.0,0.06032258064516129,0.04794871794871795,920
921,923,Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87,1.8600000000000003,0.9946524064171124,0.06000000000000001,0.04794871794871795,921
922,924,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,1.87,1.0,0.06032258064516129,0.04794871794871795,922
923,925,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,923
924,926,Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,924
925,927,Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,925
926,928,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,1.87,1.0053763440860215,0.06032258064516129,0.047692307692307694,926
927,929,Turok 2: Seeds of Evil,N64,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,927
928,930,SingStar,PS2,2004,Misc,Sony Computer Entertainment,0.0,1.37,0.0,0.49,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,928
929,931,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,929
930,932,NBA Live 2002,PS2,2001,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86,1.86,1.0,0.060000000000000005,0.047692307692307694,930
931,933,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.34,0.37,0.0,0.15,1.86,1.8599999999999999,0.9999999999999999,0.06,0.047692307692307694,931
932,934,Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,1.85,0.9946236559139785,0.05967741935483871,0.047692307692307694,932
933,935,GoldenEye 007 (2010),Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86,1.8499999999999999,0.9946236559139784,0.0596774193548387,0.047692307692307694,933
934,936,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,1.86,1.0054054054054054,0.060000000000000005,0.04743589743589744,934
935,937,Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,1.85,1.0,0.05967741935483871,0.04743589743589744,935
936,938,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85,1.8499999999999999,0.9999999999999999,0.0596774193548387,0.04743589743589744,936
937,939,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,1.85,1.0,0.05967741935483871,0.04743589743589744,937
938,940,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,1.8499999999999999,0.9999999999999999,0.0596774193548387,0.04743589743589744,938
939,941,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,1.85,1.0,0.05967741935483871,0.04743589743589744,939
940,942,Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,Unknown,0.0,1.1,0.42,0.33,1.84,1.85,1.0054347826086956,0.05967741935483871,0.04717948717948718,940
941,943,Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,1.84,1.0,0.05935483870967742,0.04717948717948718,941
942,944,NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.53,0.05,0.0,0.25,1.84,1.83,0.9945652173913043,0.05903225806451613,0.04717948717948718,942
943,945,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83,1.8199999999999998,0.9945355191256829,0.05870967741935483,0.04692307692307692,943
944,946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0.0,0.03,1.83,1.83,1.0,0.05903225806451613,0.04692307692307692,944
945,947,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,1.83,1.0,0.05903225806451613,0.04692307692307692,945
946,948,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,1.83,1.0,0.05903225806451613,0.04692307692307692,946
947,949,Just Cause 3,PS4,2015,Action,Square Enix,0.46,1.02,0.07,0.28,1.83,1.83,1.0,0.05903225806451613,0.04692307692307692,947
948,950,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,1.83,1.0,0.05903225806451613,0.04692307692307692,948
949,951,The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83,1.82,0.994535519125683,0.05870967741935484,0.04692307692307692,949
950,952,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,1.82,0.994535519125683,0.05870967741935484,0.04692307692307692,950
951,953,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,1.83,1.0054945054945055,0.05903225806451613,0.04666666666666667,951
952,954,Sonic & Knuckles,GEN,1994,Platform,Sega,1.24,0.43,0.03,0.12,1.82,1.8199999999999998,0.9999999999999999,0.05870967741935483,0.04666666666666667,952
953,955,Namco Museum,PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0.0,0.02,1.82,1.82,1.0,0.05870967741935484,0.04666666666666667,953
954,956,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,1.81,0.9945054945054945,0.05838709677419355,0.04666666666666667,954
